"lang"
{
	"Language"	"russian"
	
	
	
	//>---------------------------------------
	//>--- ABILITY ---------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_pathfinder_acorn_shot"                                                    "Acorn Shot"
	"DOTA_Tooltip_Ability_pathfinder_acorn_shot_Description"                                        "Hoowdink атакует цель желудем. Желудь подпрыгивает к ближайшим целям, замедляя их и нанося дополнительный урон. Если включено нацеливание на землю или автозапуск, в целевой позиции создается дерево, и желудь будет отскакивать к ближайшим целям."
	"DOTA_Tooltip_Ability_pathfinder_acorn_shot_bonus_range"                                        "Бонусная дельность: "
	"DOTA_Tooltip_Ability_pathfinder_acorn_shot_bonus_damage"                                       "Бонусный урон: "
	"DOTA_Tooltip_Ability_pathfinder_acorn_shot_bounce_count"                                       "Количество отскоков: "
	"DOTA_Tooltip_Ability_pathfinder_acorn_shot_bounce_range"                                       "Дальность отскока: "
	"DOTA_Tooltip_Ability_pathfinder_acorn_shot_debuff_duration"                                    "Длительность замедления: "
	"DOTA_Tooltip_Ability_pathfinder_acorn_shot_slow"                                               "Сила замедления: "
	"DOTA_Tooltip_Ability_pathfinder_acorn_shot_tree_duration"                                      "Длительность дерева: "
	"DOTA_Tooltip_Ability_pathfinder_acorn_shot_Lore"                                               "Хотя она сможет обходиться практически всем, желуди Дуба и Железного дерева являются наиболее эффективными снарядами - и основной частью тайника Hoowdink."
	
	
	"DOTA_Tooltip_Ability_pathfinder_bushwhack"                                                     "Bushwhack"
	"DOTA_Tooltip_Ability_pathfinder_bushwhack_Description"                                         "Кидает ловушку в указанном направлении. Если ловушка попадает в дерево или вблизи дерева, она притягивает противников вокруг и станит их. При этом дальность обзора зстаненных противников становится 0 на время стана."
	"DOTA_Tooltip_Ability_pathfinder_bushwhack_trap_radius"                                         "Радиус притягивания: "
	"DOTA_Tooltip_Ability_pathfinder_bushwhack_debuff_duration"                                     "Длительность стана: "
	"DOTA_Tooltip_Ability_pathfinder_bushwhack_total_damage"                                        "Урон: "
	"DOTA_Tooltip_Ability_pathfinder_bushwhack_Lore"                                                "Hoodwink предпочитает рощи Ironwood для засад, но осторожный шаг во всех областях туманного леса."
	
	
	"DOTA_Tooltip_Ability_pathfinder_scurry"                                                        "Scurry"
	"DOTA_Tooltip_Ability_pathfinder_scurry_Description"                                            "Пассивно: возле деревьев получает бонусный шанс на уклонение. Активно: Увеличивает скорость передвижения и дает призрачное передвижение среди юнитов и деревьев. На время действия способности, лимит скорости передвижения разблокирован."
	"DOTA_Tooltip_Ability_pathfinder_scurry_radius"                                                 "Радиус пассивки: "
	"DOTA_Tooltip_Ability_pathfinder_scurry_movement_speed_pct"                                     "%Активное передвижение: "
	"DOTA_Tooltip_Ability_pathfinder_scurry_duration"                                               "Активная длительность: "
	"DOTA_Tooltip_Ability_pathfinder_scurry_evasion"                                                "%Пассивный уклонение: "
	"DOTA_Tooltip_Ability_pathfinder_scurry_Lore"                                                   "В лесу Tomo'kan нет ни одного укромного уголка, недоступного для лап Hoodwink."
	
	"DOTA_Tooltip_Ability_pathfinder_sharpshooter"                                                  "Sharpshooter"
	"DOTA_Tooltip_Ability_pathfinder_sharpshooter_Description"                                      "Начинает подготавливать снаряд вплоть до %misfire_time%, после чего она запустит снаряд сама. Снаряд наносит урон, замедляет и обезоруживает противников которые оказались на пути, но эти параметры достигают максимальный результат когда полностью заряжены. Hoowdink заряжает снаряд вплоть до %max_charge_time% секунд, после чего повторное применение умения будет наносить полный урон, максимальную длительность замедления и обезоруживания. После выстрела отталкивает Hoodwink отдачей на %recoil_distance% единиц."
	"DOTA_Tooltip_Ability_pathfinder_sharpshooter_arrow_width"                                      "Радиус поражения: "
	"DOTA_Tooltip_Ability_pathfinder_sharpshooter_arrow_range"                                      "Максимальная дальность полета: "
	"DOTA_Tooltip_Ability_pathfinder_sharpshooter_max_damage"                                       "Max Damage: "
	"DOTA_Tooltip_Ability_pathfinder_sharpshooter_slow_move_pct"                                    "%Сила замедления: "
	"DOTA_Tooltip_Ability_pathfinder_sharpshooter_max_slow_debuff_duration"                         "Максимальная длительность: "
	"DOTA_Tooltip_Ability_pathfinder_sharpshooter_Lore"                                             "Любое лесное существо скажет вам, что самая неприятная часть охоты - это когда противник просто ПАДЕТСЯ при выстреле и не летит назад в лес. Те дни прошли. Все, что этот ребенок попадает лучше, УПАКОВКА ОБЕДА, потому что он собирается прокатиться!"
	
	"DOTA_Tooltip_Ability_pathfinder_sharpshooter_release"                                          "Выпустить Sharpshooter"
	"DOTA_Tooltip_Ability_pathfinder_sharpshooter_release_Description"                              "Выпустить снаряд чтобы можно было вновь передвигаться и атаковать."
	"DOTA_Tooltip_Ability_pathfinder_sharpshooter_release_Lore"                                     "Огонь и забыть!"
	
	//>---------------------------------------
	//>--- MINOR SHARD -----------------------
	//>---------------------------------------
	
	
	"pathfinder_acorn_shot_percent_cooldown"			                                            "-{s:value}% перезарядки {s:ability_name}"
	"pathfinder_acorn_shot_bonus_damage"			                                                "+{s:value} к бонусному урону {s:ability_name}"
	"pathfinder_acorn_shot_bounce_count"			                                                "+{s:value} к количеству отскоков {s:ability_name}"
	"pathfinder_acorn_shot_bounce_range"			                                                "+{s:value} к дальности отскока {s:ability_name}"
	"pathfinder_acorn_shot_debuff_duration"			                                                "+{s:value} секунд к длительности замедления {s:ability_name}"
	
	"pathfinder_bushwhack_percent_cooldown"			                                                "-{s:value}% перезарядки {s:ability_name}"
	"pathfinder_bushwhack_trap_radius"			                                                    "+{s:value} к радиусу притягивания {s:ability_name}"
	"pathfinder_bushwhack_debuff_duration"			                                                "+{s:value} секунд к длительности оглушения {s:ability_name}"
	"pathfinder_bushwhack_total_damage"			                                                    "+{s:value} к урону {s:ability_name}"
	
	"pathfinder_scurry_percent_cooldown"			                                                "-{s:value}% перезарядки {s:ability_name}"
	"pathfinder_scurry_movement_speed_pct"			                                                "+{s:value}% к активной скорости {s:ability_name}"
	"pathfinder_scurry_duration"			                                                        "+{s:value} секунд к активной длительности {s:ability_name}"
	"pathfinder_scurry_movement_evasion"			                                                "+{s:value}% к пассивному уклонению возле деревьев {s:ability_name}"
	
	"pathfinder_sharpshooter_percent_cooldown"			                                            "-{s:value}% перезарядки {s:ability_name}"
	"pathfinder_sharpshooter_max_damage"			                                                "+{s:value} к максимальному урону {s:ability_name}"
	"pathfinder_sharpshooter_arrow_range"			                                                "+{s:value} к дальности снаряда {s:ability_name}"
	"pathfinder_sharpshooter_max_slow_debuff_duration"			                                    "+{s:value} секунд к длительности дебаффа {s:ability_name}"
	
	
	//>---------------------------------------
	//>--- BRISTLE SHARD ---------------------
	//>---------------------------------------
	
	
	
	"DOTA_Tooltip_Ability_item_pathfinder_acorn_shot_percent_cooldown"			                    "Acorn Shot - Перезарядка"
	"DOTA_Tooltip_Ability_item_pathfinder_acorn_shot_bonus_damage"			                        "Acorn Shot - Бонусный урон"
	"DOTA_Tooltip_Ability_item_pathfinder_acorn_shot_bounce_count"			                        "Acorn Shot - Количество отскоков"
	"DOTA_Tooltip_Ability_item_pathfinder_acorn_shot_bounce_range"			                        "Acorn Shot - Дальность отскока"
	"DOTA_Tooltip_Ability_item_pathfinder_acorn_shot_debuff_duration"			                    "Acorn Shot - Длительность замедления"
	
	"DOTA_Tooltip_Ability_item_pathfinder_bushwhack_percent_cooldown"			                    "Bushwhack - Перезарядка"
	"DOTA_Tooltip_Ability_item_pathfinder_bushwhack_trap_radius"			                        "Bushwhack - Радиус притягивания"
	"DOTA_Tooltip_Ability_item_pathfinder_bushwhack_debuff_duration"			                    "Bushwhack - Длительность стана"
	"DOTA_Tooltip_Ability_item_pathfinder_bushwhack_total_damage"			                        "Bushwhack - Урон"
	
	"DOTA_Tooltip_Ability_item_pathfinder_scurry_percent_cooldown"			                        "Scurry - Перезарядка"
	"DOTA_Tooltip_Ability_item_pathfinder_scurry_movement_speed_pct"			                    "Scurry - Активная скорость"
	"DOTA_Tooltip_Ability_item_pathfinder_scurry_duration"			                                "Scurry - Активная длительность"
	"DOTA_Tooltip_Ability_item_pathfinder_scurry_movement_evasion"			                        "Scurry - Пассивное уклонение возле деревьев"
	
	"DOTA_Tooltip_Ability_item_pathfinder_sharpshooter_percent_cooldown"			                "Sharpshooter - Перезарядка"
	"DOTA_Tooltip_Ability_item_pathfinder_sharpshooter_max_damage"			                        "Sharpshooter - Максимальный урон"
	"DOTA_Tooltip_Ability_item_pathfinder_sharpshooter_arrow_range"			                        "Sharpshooter - Дальность снаряда"
	"DOTA_Tooltip_Ability_item_pathfinder_sharpshooter_max_slow_debuff_duration"			        "Sharpshooter - Длительность дебаффов"
	
	
	
	"DOTA_Tooltip_Ability_item_pathfinder_acorn_shot_percent_cooldown_Description"			        "<h1>Обычный Фрагмент Скиптра</h1>Уменьшает перезарядку Acorn Shot на %value%% "
	"DOTA_Tooltip_Ability_item_pathfinder_acorn_shot_bounce_count_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает количество отскоков Acorn Shot на %value% "
	"DOTA_Tooltip_Ability_item_pathfinder_acorn_shot_bounce_range_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает дальность отскока Acorn Shot на %value% "
	"DOTA_Tooltip_Ability_item_pathfinder_acorn_shot_debuff_duration_Description"			        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает длительность замедления Acorn Shot на %value% секунд"
	
	"DOTA_Tooltip_Ability_item_pathfinder_bushwhack_percent_cooldown_Description"			        "<h1>Обычный Фрагмент Скипетра</h1>Уменьшает перезарядку Bushwhack на %value%% "
	"DOTA_Tooltip_Ability_item_pathfinder_bushwhack_trap_radius_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает радиус притягивания Bushwhack на %value% "
	"DOTA_Tooltip_Ability_item_pathfinder_bushwhack_debuff_duration_Description"			        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает длительность оглушения Bushwhack на %value% секунд"
	"DOTA_Tooltip_Ability_item_pathfinder_bushwhack_total_damage_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает урон Bushwhack на %value% "
	
	"DOTA_Tooltip_Ability_item_pathfinder_scurry_percent_cooldown_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Уменьшает перезарядку Scurry на %value%% "
	"DOTA_Tooltip_Ability_item_pathfinder_scurry_movement_speed_pct_Description"			        "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает активную бонус скорости Scurry на %value%% "
	"DOTA_Tooltip_Ability_item_pathfinder_scurry_duration_Description"			                    "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает длительность Scurry на %value% секунд"
	"DOTA_Tooltip_Ability_item_pathfinder_scurry_movement_evasion_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает пассивное уклонение возле деревьевт Scurry на %value%% "
	
	"DOTA_Tooltip_Ability_item_pathfinder_sharpshooter_percent_cooldown_Description"			    "<h1>Обычный Фрагмент Скипетра</h1>Уменьшает перезарядку Sharpshooter на %value%% "
	"DOTA_Tooltip_Ability_item_pathfinder_sharpshooter_max_damage_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает максимальный урон Sharpshooter на %value% "
	"DOTA_Tooltip_Ability_item_pathfinder_sharpshooter_arrow_range_Description"			            "<h1>Обычный Фрагмент Скипетра</h1>Увеличивает дальность снаряда Sharpshooter на %value% "
	"DOTA_Tooltip_Ability_item_pathfinder_sharpshooter_max_slow_debuff_duration_Description"		"<h1>Обычный Фрагмент Скипетра</h1>Увеличивает длительность дебаффов Sharpshooter на %value% секунд"
	
	
	
	//>---------------------------------------
	//>--- TALENT TREE -----------------------
	//>---------------------------------------
	
	
	"DOTA_Tooltip_Ability_special_bonus_unique_pathfinder_sharpshooter_invis"                       "Во время Sharpshooter невидима"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_pathfinder_acorn_shot+bounce_count"              "+{s:bounce_count} отскоков Acorn Shot"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_pathfinder_sharpshooter+arrow_range"             "+{s:arrow_range} к дальности снаряда Sharpshooter"
	
	
	//>---------------------------------------
	//>--- MODIFIER --------------------------
	//>---------------------------------------
	
	
	"DOTA_Tooltip_modifier_pathfinder_acorn_shot_debuff"                                                "Nutted"
	"DOTA_Tooltip_modifier_pathfinder_acorn_shot_debuff_Description"                                    "Скорость передвижение уменьшено."
	
	"DOTA_Tooltip_modifier_hoodwink_scurry_lua"                                                         "Scurry"
	"DOTA_Tooltip_modifier_hoodwink_scurry_lua_Description"                                             "Бонусные уклонение возле деревьев!"
	
	"DOTA_Tooltip_modifier_hoodwink_scurry_lua_buff"                                                    "Scurry Active"
	"DOTA_Tooltip_modifier_hoodwink_scurry_lua_buff_Description"                                        "Получает бонус к передвижению и призрачное передвижение в деревьях. Лимит скорости разблокирован."
	
	"DOTA_Tooltip_modifier_pathfinder_sharpshooter"                                                     "Sharpshooter"
	"DOTA_Tooltip_modifier_pathfinder_sharpshooter_Description"                                         "Любое лесное существо скажет вам, что самая неприятная часть охоты - это когда противник просто ПАДАЕТ при выстреле и не летит назад в лес. Те дни прошли. Все, что этот ребенок попадает лучше, УПАКУЙТЕ ОБЕД, потому что он собирается прокатиться!"
	
	"DOTA_Tooltip_modifier_pathfinder_sharpshooter_debuff"                                              "Sharpshot!"
	"DOTA_Tooltip_modifier_pathfinder_sharpshooter_debuff_Description"                                  "Передвижение уменьшено и пассивки отключены"
	
	"DOTA_Tooltip_modifier_pathfinder_bushwhack_debuff"                                                 "Bushwhacked!"
	"DOTA_Tooltip_modifier_pathfinder_bushwhack_debuff_Description"                                     "Обнимашки деревьев!"
	
	
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-HOODWINK END---------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-JAKIRO START---------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	
	
	//>---------------------------------------
	//>--- LEGENDARY -------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_dual_breath_fart"                           "Tacobellian Indigestion"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_dual_breath_fart_Description"	            "Каждую секунду с вероятностью в %chance%%%  герой может выпустить или огненную, или ледяную струю Dual Breath позади себя. Область поражения представляет собой конус."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_duel_breath_liquid_fire"	                "Through the Fire and Flames"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_duel_breath_liquid_fire_Description"	    "Огненная струя Dual Breath с вероятностью в %chance%%%   может также запустить струю Liquid Fire текущего уровня в каждого задетого врага. Перезарядка способности Liquid Fire в этом случае будет обновлена."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_duel_breath_ice_blob"	                    "Crystalized Veins"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_duel_breath_ice_blob_Description"	        "Ледяная струя Dual Breath с вероятностью в %chance%%%  может дополнительно создать под каждым задетым врагом фрагмент Ice Path. Урон и оглушение при этом будут соответствовать текущим показателям способности Ice Path."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_ice_path_barrier"	                        "Ice-solation Protocol"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_ice_path_barrier_Description"	            "Применение Ice Path дополнительно создает барьер из ледяных осколков прямо перед владельцем. После исчезновения тропы барьер будет существовать еще %duration_add% сек."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_ice_path_fast"	                            "On Thin Ice"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_ice_path_fast_Description"	                "Союзные герои, которые оказываются в зоне действия Ice Path, освобождаются от всех негативных эффектов и получают %move_speed%  дополнительной скорости, беспрепятственное и сквозное передвижение, а также иммунитет к замедлению."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_ice_path_repeat"	                        "Let It Go"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_ice_path_repeat_Description"	            "Если враг умрет под действием Ice Path, он создаст дополнительную тропу Ice Path в направлении линии взгляда."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_ice_path_armour"	                        "Vanilla Ice"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_ice_path_armour_Description"	            "Оказавшись в зоне действия Ice Path, союзные герои получают ледяной покров, который замораживает атакующих их врагов максимум на %freeze_duration% сек. за каждую атаку. Длительность этого эффекта равна длительности Ice Path, умноженной на %buff_duration_mult%."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_macropyre_cooldown_reduction"           	"A Song of Fire and More Fire"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_macropyre_cooldown_reduction_Description"	"Каждый враг, погибший под воздействием Macropyre, уменьшает перезарядку этой способности на %cd_percent%%."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_liquid_fire_allies"	                        "Molten Blood Transfusion"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_liquid_fire_allies_Description"         	"Liquid Fire теперь может нацеливаться на союзных героев и воздействовать на них, исцеляя их на 150%% от урона способности"
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_liquid_fire_macropyre"                  	"Warm Personality"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_liquid_fire_macropyre_Description"      	"Если враг умрет под действием Liquid Fire, он с вероятностью в %chance%%  может оставить на своем месте лужи Macropyre текущего уровня. Время существования лужи равняется половине общей длительности способности Macropyre."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_liquid_fire_burst"	                        "Drachen Flammenwerfer"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_liquid_fire_burst_Description"	            "Помимо стандартного эффекта Liquid Fire также мгновенно наносит врагам дополнительный урон, равный половине стандартного общего урона способности за всё время."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_macropyre_burning_man"	                    "Festivity of the Burning Man"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_macropyre_burning_man_Description"      	"Использование Macropyre также создает вокруг целевой области 5 дополнительных огненных троп Macropyre меньшего размера."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_macropyre_heal"	                            "Lavatherapy"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_macropyre_heal_Description"             	"Теперь Macropyre также лечит всех союзных героев в зоне действия на %heal_percent%%%  от общего урона способности."
	
	"DOTA_Tooltip_Ability_pathfinder_jakiro_macropyre_eternal"	                        "Darling It's Cold Outside"
	"DOTA_Tooltip_Ability_pathfinder_jakiro_macropyre_eternal_Description"	            "Огненная тропа Macropyre никогда не исчезнет, пока Jakiro находится на ней."
	
	
	//>---------------------------------------
	//>--- ABILITY ---------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_jakiro_dual_breath_lua"	                                    "Dual Breath"
	"DOTA_Tooltip_Ability_jakiro_dual_breath_lua_Description"	                        "Поток льда, за которым следует волна огня. Лед снижает скорость передвижения и атаки врагов, а огонь наносит им периодический урон."
	"DOTA_Tooltip_Ability_jakiro_dual_breath_lua_start_radius"		                    "Начальный радиус:"
	"DOTA_Tooltip_Ability_jakiro_dual_breath_lua_end_radius"		                    "Конечный радиус:"
	"DOTA_Tooltip_Ability_jakiro_dual_breath_lua_range"		                            "Дальность волны:"		
	"DOTA_Tooltip_Ability_jakiro_dual_breath_lua_slow_movement_speed_pct"		        "%Замедление передвижения:"
	"DOTA_Tooltip_Ability_jakiro_dual_breath_lua_slow_attack_speed_pct"		            "Замедление скорости атаки:"
	"DOTA_Tooltip_Ability_jakiro_dual_breath_lua_burn_damage"		                    "Урон в секунду:"
	"DOTA_Tooltip_Ability_jakiro_dual_breath_lua_duration"		                        "Длительность эффекта:"
	
	
	"DOTA_Tooltip_Ability_jakiro_ice_path_lua"	                                        "Ice Path"
	"DOTA_Tooltip_Ability_jakiro_ice_path_lua_Description"	                            "Создает ледяную тропу, которая оглушает и наносит урон врагам, прикоснувшимся к ней."
	"DOTA_Tooltip_Ability_jakiro_ice_path_lua_range"		                            "Длина тропы:"
	"DOTA_Tooltip_Ability_jakiro_ice_path_lua_damage"		                            "Урон:"	
	"DOTA_Tooltip_Ability_jakiro_ice_path_lua_duration"		                            "Длительность:"	
	"DOTA_Tooltip_Ability_jakiro_ice_path_lua_path_radius"		                        "Ширина тропы:"				
	"DOTA_Tooltip_Ability_jakiro_ice_path_lua_path_delay"		                        "Задержка:"		
	
	"DOTA_Tooltip_Ability_jakiro_liquid_fire_lua"	                                    "Liquid Fire"
	"DOTA_Tooltip_Ability_jakiro_liquid_fire_lua_Description"	                        "Герой наполняет свою атаку жидким пламенем, поджигая цель и всех врагов вокруг нее. Жертвы получают периодический урон и медленнее атакуют."
	"DOTA_Tooltip_Ability_jakiro_liquid_fire_lua_slow_attack_speed_pct"		            "Замедление скорости атаки:"
	"DOTA_Tooltip_Ability_jakiro_liquid_fire_lua_radius"		                        "Радиус:"
	"DOTA_Tooltip_Ability_jakiro_liquid_fire_lua_damage"		                        "Урон в секунду:"		
	"DOTA_Tooltip_Ability_jakiro_liquid_fire_lua_duration"		                        "Длительность эффекта:"
	"DOTA_Tooltip_Ability_jakiro_liquid_fire_lua_range"		                            "Дальность применения:"
	
	"DOTA_Tooltip_Ability_jakiro_macropyre_lua"	                                        "Macropyre"
	"DOTA_Tooltip_Ability_jakiro_macropyre_lua_Description"	                            "Герой извергает широкую линию жидкого пламени, которое держится некоторое время и ежесекундно наносит урон вражеским юнитам."
	"DOTA_Tooltip_Ability_jakiro_macropyre_lua_damage"		                            "Урон в секунду:"
	"DOTA_Tooltip_Ability_jakiro_macropyre_lua_cast_range"		                        "Дальность эффекта:"
	"DOTA_Tooltip_Ability_jakiro_macropyre_lua_path_radius"		                        "Радиус:"
	"DOTA_Tooltip_Ability_jakiro_macropyre_lua_duration"		                        "Длительность способности:"				
	"DOTA_Tooltip_Ability_jakiro_macropyre_lua_linger_duration"		                    "Длительность остаточного эффекта:"				
	
	
	//>---------------------------------------
	//>--- MINOR SHARD -----------------------
	//>---------------------------------------
	
	"jakiro_dual_breath_lua_range"			                                            "+{s:value} к дальности струи {s:ability_name}"
	"jakiro_dual_breath_lua_burn_damage"			                                    "+{s:value} к урону в секунду от {s:ability_name}"
	"jakiro_dual_breath_lua_slow_movement_speed_pct"			                        "+{s:value}% к замедлению передвижения от {s:ability_name}"
	"jakiro_dual_breath_lua_slow_attack_speed_pct"			                            "+{s:value} к замедлению атаки от {s:ability_name}"
	"jakiro_dual_breath_lua_duration"			                                        "+{s:value} секунд к длительности эффекта {s:ability_name}"
	"jakiro_dual_breath_lua_pct_cooldown"			                                    "-{s:value}% перезарядки {s:ability_name}"
	
	"jakiro_ice_path_lua_duration"			                                            "+{s:value} к длительности {s:ability_name}"
	"jakiro_ice_path_lua_damage"			                                            "+{s:value} к урону от {s:ability_name}"
	"jakiro_ice_path_lua_range"			                                                "+{s:value} к длине {s:ability_name}"
	"jakiro_ice_path_lua_pct_cooldown"			                                        "-{s:value}% перезарядки {s:ability_name}"
	
	"jakiro_liquid_fire_lua_slow_attack_speed_pct"			                            "+{s:value} к замедлению атаки от {s:ability_name}"
	"jakiro_liquid_fire_lua_radius"			                                            "+{s:value} к радиусу {s:ability_name}"
	"jakiro_liquid_fire_lua_damage"			                                            "+{s:value} к урону в секунду от {s:ability_name}"
	"jakiro_liquid_fire_lua_duration"			                                        "+{s:value} секунд к длительности эффекта {s:ability_name}"		
	"jakiro_liquid_fire_lua_range"			                                            "+{s:value} к дальности применения {s:ability_name}"
	
	"jakiro_macropyre_lua_duration"			                                            "+{s:value} секунд к длительности эффекта {s:ability_name}"
	"jakiro_macropyre_lua_damage"			                                            "+{s:value} к урону в секунду от {s:ability_name}"
	"jakiro_macropyre_lua_cast_range"			                                        "+{s:value} к дальности эффекта {s:ability_name}"
	"jakiro_macropyre_lua_pct_cooldown"			                                        "-{s:value}% перезарядки {s:ability_name}"
	
	
	
	//>---------------------------------------
	//>--- BRISTLE SHARD ---------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_range"				            "Dual Breath - дальность струи"
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_burn_damage"				        "Dual Breath - урон в секунду"
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_slow_movement_speed_pct"		    "Dual Breath - замедление передвижения"
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_slow_attack_speed_pct"			"Dual Breath - замедление атаки"
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_duration"				            "Dual Breath - длительность эффекта"
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_pct_cooldown"				        "Dual Breath - перезарядка"
	
	
	"DOTA_Tooltip_Ability_item_jakiro_ice_path_lua_duration"				            "Ice Path - длительность"
	"DOTA_Tooltip_Ability_item_jakiro_ice_path_lua_damage"				                "Ice Path - урон"
	"DOTA_Tooltip_Ability_item_jakiro_ice_path_lua_range"				                "Ice Path - длина"
	"DOTA_Tooltip_Ability_item_jakiro_ice_path_lua_pct_cooldown"				        "Ice Path - перезарядка"
	
	
	"DOTA_Tooltip_Ability_item_jakiro_liquid_fire_lua_slow_attack_speed_pct"			"Liquid Fire - замедление атаки"
	"DOTA_Tooltip_Ability_item_jakiro_liquid_fire_lua_radius"				            "Liquid Fire - радиус"
	"DOTA_Tooltip_Ability_item_jakiro_liquid_fire_lua_damage"				            "Liquid Fire - урон в секунду"
	"DOTA_Tooltip_Ability_item_jakiro_liquid_fire_lua_duration"				            "Liquid Fire - длительность эффекта"
	"DOTA_Tooltip_Ability_item_jakiro_liquid_fire_lua_range"				            "Liquid Fire - дальность применения"
	
	
	"DOTA_Tooltip_Ability_item_jakiro_macropyre_lua_damage"				                "Macropyre - урон в секунду"
	"DOTA_Tooltip_Ability_item_jakiro_macropyre_lua_cast_range"				            "Macropyre - дальность"
	"DOTA_Tooltip_Ability_item_jakiro_macropyre_lua_duration"				            "Macropyre - длительность"
	"DOTA_Tooltip_Ability_item_jakiro_macropyre_lua_pct_cooldown"				        "Macropyre - перезарядка"
	
	
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_range_Description"				        "<h1>Обычный фрагмент скипетра</h1>Увеличивает дальность струи Dual Breath на %value%."
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_burn_damage_Description"				    "<h1>Обычный фрагмент скипетра</h1>Увеличивает урон в секунду от Dual Breath на %value%."
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_slow_movement_speed_pct_Description"		"<h1>Обычный фрагмент скипетра</h1>Увеличивает замедление передвижения врагов от Dual Breath на %value%%."
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_slow_attack_speed_pct_Description"	    "<h1>Обычный фрагмент скипетра</h1>Увеличивает замедление скорости атаки врагов от Dual Breath на %value%."	
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_duration_Description"				        "<h1>Обычный фрагмент скипетра</h1>Увеличивает длительность эффекта Dual Breath на %value% сек."
	"DOTA_Tooltip_Ability_item_jakiro_dual_breath_lua_pct_cooldown_Description"			        "<h1>Обычный фрагмент скипетра</h1>Уменьшает перезарядку Dual Breath на %value%%."
	
	
	"DOTA_Tooltip_Ability_item_jakiro_ice_path_lua_duration_Description"	            "<h1>Обычный фрагмент скипетра</h1>Увеличивает длительность Ice Path на %value% сек."
